Player,School,Final Age,Position,Height,Weight,Hand,Arm,Forty,Vert,Broad
Hunter Luepke,North Dakota State,22.9,RB,73,230,9.6,31.5,,,
Cameron Latu,Alabama,22.9,TE,76.3,242,9.5,32.4,,,
Michael Wilson,Stanford,22.9,WR,73.6,213,9.8,,4.6,37.5,125
Toa Taua,Nevada,22.9,RB,,,,,,,
Davis Allen,Clemson,22.9,TE,77.5,245,,32.3,4.8,38.5,125
Ronnie Bell,Michigan,22.9,WR,71.6,191,9.5,,4.5,38.5,120
Christopher Brooks,Brigham Young,23,RB,,,,,,,
Jaray Jenkins,Louisiana State,23,WR,73.8,204,,31.8,4.6,29.5,
Duece Watts,Tulane,23,WR,,,,,,,
Michael Jefferson,Louisiana,23,WR,75.8,199,9.6,32.5,4.6,37,133
Kearis Jackson,Georgia,23.1,WR,71.4,196,9.4,31.3,4.6,,126
Jayson Jackson,Ball State,23.1,WR,,,,,,,
Brycen Tremayne,Stanford,23.1,WR,,,,,,,
Antoine Green,North Carolina,23.1,WR,73.8,199,,32.1,4.5,33.5,123
Dorian Thompson-Robinson,UCLA,23.1,QB,73.5,203,9.9,30.6,4.6,32.5,121
Brayden Willis,Oklahoma,23.2,TE,75.8,241,9.8,33.3,,32,117
Holton Ahlers,East Carolina,23.2,QB,,,,,,,
Nikko Remigio,Fresno State,23.2,WR,,,,,,,
Eric Gray,Oklahoma,23.2,RB,69.6,207,9.8,29.6,,37.5,118
Sam James,West Virginia,23.2,WR,,,,,,,
Nathaniel Dell,Houston,23.2,WR,68.4,165,8.6,30.5,4.5,,121
A.T. Perry,Wake Forest,23.2,WR,75.6,198,9.3,33.3,4.5,35,133
Shedrick Jackson,Auburn,23.2,WR,,,,,,,
Dalton Kincaid,Utah,23.2,TE,75.6,246,10.3,32.6,,,
Andrei Iosivas,Princeton,23.2,WR,75.1,205,8.8,,4.4,39,128
SaRodorick Thompson,Texas Tech,23.3,RB,71.6,207,,31.6,4.7,32.5,120
Christopher Rodriguez Jr.,Kentucky,23.3,RB,72,217,8.6,30.6,,,
Daniel Barker,Michigan State,23.3,TE,,,,,,,
Luke Ford,Illinois,23.3,TE,78,268,9.5,,,,
Mitchell Tinsley,Penn State,23.3,WR,71.8,199,,32.4,4.6,35.5,120
Camerun Peoples,Appalachian State,23.3,RB,73,217,9.8,32.6,4.6,37,121
Chris Smith,Louisiana,23.3,RB,,,,,,,
Josh Whyle,Cincinnati,23.3,TE,78.6,248,9.5,31.5,,33.5,115
Eric Gallman,Duke,23.3,WR,,,,,,,
Travis Dye,Southern California,23.4,RB,70,201,9.3,28.9,,,
Marcell Barbee,Texas State,23.4,WR,,,,,,,
Jesse Matthews,San Diego State,23.4,WR,,,,,,,
Ontaria Wilson,Florida State,23.4,WR,,,,,,,
Jacob Copeland,Maryland,23.5,WR,71.1,201,8.6,31.6,4.4,33,127
Isaiah Bowser,Central Florida,23.5,RB,,,,,,,
Will Levis,Kentucky,23.5,QB,75.9,229,10.6,,,34,124
Matt Landers,Arkansas,23.6,WR,76.4,200,9.3,32.5,4.4,37,130
Jordan Mims,Fresno State,23.6,RB,,,,,,,
Zack Kuntz,Old Dominion,23.6,TE,78.6,255,10.3,,4.6,40,128
Will Mallory,Miami (FL),23.6,TE,76.6,239,9.4,32.3,4.5,36.5,121
Camren McDonald,Florida State,23.6,TE,,,,,,,
Jalen Wayne,South Alabama,23.7,WR,73.5,210,9.4,32.1,4.5,34.5,124
Jeremy Singleton,Georgia Southern,23.7,WR,,,,,,,
Tanner Morgan,Minnesota,23.7,QB,,,,,,,
Ellis Merriweather,Massachusetts,23.8,RB,,,,,,,
Griffin Hebert,Louisiana Tech,23.8,TE,,,,,,,
Jaylen Hall,Western Kentucky,23.8,WR,,,,,,,
Clayton Tune,Houston,23.8,QB,74.6,220,9.4,31.4,4.6,37.5,122
Princeton Fant,Tennessee,23.8,TE,,,,,,,
Jake Haener,Fresno State,23.8,QB,72,207,9.4,29.8,,35,114
Carlos Carriere,Central Michigan,23.9,WR,,,,,,,
Noah Gindorff,North Dakota State,23.9,TE,77.6,263,,33.1,,,
Jason Brownlee,Southern Mississippi,23.9,WR,74,198,9.8,33.8,4.6,39.5,131
Ta'Zhawn Henry,Houston,23.9,RB,,,,,,,
Daewood Davis,Western Kentucky,24,WR,,,,,,,
Emari Demercado,Texas Christian,24,RB,,,,,,,
Adonicas Sanders,Temple,24,WR,,,,,,,
Tyjon Lindsey,Oregon State,24,WR,,,,,,,
Adrian Martinez,Kansas State,24,QB,,,,,,,
Braydon Johnson,Oklahoma State,24.1,WR,,,,,,,
Mac Hippenhammer,Miami (OH),24.2,WR,,,,,,,
E.J. Jenkins,Georgia Tech,24.2,TE,,,,,,,
Charlie Jones,Purdue,24.2,WR,71.3,175,,31.6,4.4,36.5,124
Keytaon Thompson,Virginia,24.2,WR,,,,,,,
Elijah Cooks,San Jose State,24.2,WR,,,,,,,
Jamal Turner,Toledo,24.2,TE,,,,,,,
Malik Cunningham,Louisville,24.3,QB,71.9,192,9.5,31.4,4.5,,
Kade Warner,Kansas State,24.3,WR,,,,,,,
Luke Schoonmaker,Michigan,24.3,TE,77,251,,32.9,4.6,33.5,127
Calvin Tyler Jr.,Utah State,24.3,RB,,,,,,,
Mohamed Ibrahim,Minnesota,24.3,RB,68,203,,28.6,,,
Daniel Arias,Colorado,24.3,WR,,,,,,,
Jalen Holston,Virginia Tech,24.3,RB,,,,,,,
John Samuel Shenker,Auburn,24.3,TE,,,,,,,
Aidan O'Connell,Purdue,24.3,QB,75,213,9.8,32.3,,,
Brady Russell,Colorado,24.4,TE,,,,,,,
Tommy Devito,Illinois,24.4,QB,,,,,,,
Jake Bobo,UCLA,24.4,WR,76,206,,32.3,,,
Sean Clifford,Penn State,24.5,QB,,,,,,,
Xazavian Valladay,Arizona State,24.5,RB,,,,,,,
N'Kosi Perry,Florida Atlantic,24.5,QB,,,,,,,
Travis Vokolek,Nebraska,24.6,TE,78,259,9.5,32.9,,,115
Khalan Laborn,Marshall,24.6,RB,,,,,,,
Joel Honigford,Michigan,24.7,TE,,,,,,,
Jaren Hall,Brigham Young,24.8,QB,72.1,207,9.5,29.8,,,
Kemore Gamble,Central Florida,24.9,TE,,,,,,,
Leonard Taylor,Cincinnati,24.9,TE,76.8,250,10.1,32.8,,,
Chase Brice,Appalachian State,24.9,QB,,,,,,,
Hendon Hooker,Tennessee,25,QB,75.1,217,10.5,,,,
D.J. Matthews,Indiana,25.1,WR,,,,,,,
Stetson Bennett,Georgia,25.2,QB,71.3,192,,28.9,4.7,33.5,118
Logan Bonner,Utah State,25.3,QB,,,,,,,
Johnny Lumpkin,Louisiana,25.3,TE,,,,,,,
Demario Douglas,Liberty,,WR,67.9,179,8.8,30.3,4.4,39.5,134
Dontayvion Wicks,Virginia,,WR,73,206,,32.4,4.6,39,130
Kyle Patterson,Air Force,,TE,77.1,260,9.3,32.5,,,
Michael Ezeike,UCLA,,TE,,,,,,,
