Name,Position,College,RAS
Jarret Doege,QB,Troy,2.84
Anthony Morelli,QB,Penn State,3.76
Jeff Smoker,QB,Michigan State,3.82
Jimmy Klingler,QB,Houston,5.69
AJ McCarron,QB,Alabama,2.7
Matt Blundin,QB,Virginia,5.21
David Blough,QB,Purdue,2.76
Zac Taylor,QB,Nebraska,3.96
Jeff Van Raaphorst,QB,Arizona State,5.38
Casey Pachall,QB,Texas Christian,2.9
Erik Ainge,QB,Tennessee,3.61
Kevin Feterik,QB,Brigham Young,5.47
Michael Bishop,QB,Kansas State,5.05
Shane Carden,QB,East Carolina,2.61
Kenny Potter,QB,San Jose State,2.46
John Parker Wilson,QB,Alabama,3.46
Joe Callahan,QB,Wesley,2.48
Nick Mullens,QB,Southern Mississippi,2.49
Eli Dunne,QB,Northern Iowa,2.72
James Franklin,QB,Missouri,2.68
Mike Beaudry,QB,Idaho,2.66
Chris Reynolds,QB,Charlotte,2.61
Joe Hamilton,QB,Georgia Tech,4.67
Kelly Stouffer,QB,Colorado State,6.15
Paul Burmeister,QB,Iowa,5.2
Michael Scarnecchia,QB,South Carolina,2.56
Mark Carr,QB,New Hampshire,5.79
Sefo Liufau,QB,Colorado,2.55
Nathan Dick,QB,Central Arkansas,2.45
Brent Stockstill,QB,Middle Tennessee State,2.65
Daniel Smith,QB,Villanova,2.55
Reece Udinski,QB,Richmond,2.5
Clint Dolezel,QB,East Texas Baptist,4.63
Jake Heaps,QB,Miami,2.24
Brogan Roback,QB,Eastern Michigan,2.41
Alex Van Pelt,QB,Pittsburgh,5.45
Jacob Knipp,QB,Northern Colorado,2.48
Cary Conklin,QB,Washington,6.32
Marcus Crandell,QB,East Carolina,4.1
David Neill,QB,Nevada,4.58
Mike Glennon,QB,North Carolina State,2.78
Josh Booty,QB,Louisiana State,4.65
Cole Kelley,QB,Southeastern Louisiana,2.38
Ladarius Skelton,QB,Southern,2.52
Oscar Davenport,QB,North Carolina,5.31
Bill Musgrave,QB,Oregon,6.35
Evan Lewandowski,QB,Wisconsin-Whitewater,2.34
Kyle Orton,QB,Purdue,3.55
Ted White,QB,Howard,4.85
Mike Groh,QB,Virginia,3.74
Derek Anderson,QB,Oregon State,3.51
Riley Skinner,QB,Wake Forest,2.61
Malik Rosier,QB,Miami,2.31
Nathan Enderle,QB,Idaho,2.34
Jeff Carlson,QB,Weber State,5.75
Mike White,QB,Western Kentucky,2.2
Timmy Chang,QB,Hawaii,3.23
Jalen Fowler,QB,North Carolina A&T,2.22
Bill Burke,QB,Michigan State,4.86
Brent Snyder,QB,Utah State,5.25
Jay Barker,QB,Alabama,5
Riley Ferguson,QB,Memphis,2.37
Tommy Hodson,QB,Louisiana State,4.91
Matt Moore,QB,Oregon State,2.09
Josh Swogger,QB,Montana,2.93
Andre Nunez,QB,Louisiana,2.23
Grady Benton,QB,West Texas A&M,4.76
Dan Enos,QB,Michigan State,4.19
Gino Guidugli,QB,Cincinnati,3.44
Zach Terrell,QB,Western Michigan,1.92
David Moore,QB,Central Michigan,2.14
Mark Barsotti,QB,Fresno State,5.53
Carter Stanley,QB,Kansas,2.12
Jason Maas,QB,Oregon,4.69
Mike Johnson,QB,Akron,5.09
Chris Laviano,QB,Long Island-Post,2.01
Seth Suida,QB,Concordia,1.95
Scott Erney,QB,Rutgers,4.74
Bart Williams,QB,Grand Valley State,1.98
Noah Picton,QB,Regina,1.98
Jason Martin,QB,Louisiana Tech,5.16
Jeff Mathews,QB,Cornell,1.95
Jake Fromm,QB,Georgia,1.95
Jesse Hosket,QB,Southeast Missouri,2.02
Jake Luton,QB,Oregon State,2
Max Staver,QB,Maine,2.04
Bill Ransdell,QB,Kentucky,4.62
Mike Cherry,QB,Murray State,5.09
Tommy Rees,QB,Notre Dame,2.01
Kurt Kittner,QB,Illinois,3.45
Ben Holmes,QB,Tarleton State,1.96
Chase Forrest,QB,California,1.89
Luis Perez,QB,Texas A&M-Commerce,1.82
Tyler Ferguson,QB,Western Kentucky,1.87
Tyler Wiegers,QB,Eastern Michigan,1.87
Shane Buechele,QB,Southern Methodist,1.83
Fred Payton,QB,Mercer,1.79
Matt McDonald,QB,Bowling Green,1.78
Doug Hudson,QB,Nicholls State,3.85
Stan Humphries,QB,Louisiana Monroe,5.6
Danny Wuerffel,QB,Florida,5.65
James Tabary,QB,McNeese State,1.8
Brian Kuklick,QB,Wake Forest,4.44
Zerrick Cooper,QB,Jacksonville State,1.72
John Navarre,QB,Michigan,2.52
McKenzie Milton,QB,Florida State,1.78
Zach Mahoney,QB,Syracuse,1.75
Mike Elkins,QB,Wake Forest,4.25
Todd Husak,QB,Stanford,3.49
John Gromos,QB,Vanderbilt,3.68
Nick Starkel,QB,San Jose State,1.7
Dalton Easton,QB,Bryant,1.62
Kaleb Eleby,QB,Western Michigan,1.69
Travis Tarnowski,QB,Ashland,1.72
Ryan Mallett,QB,Arkansas,1.99
PJ Settles,QB,Rhodes College,1.64
Alexander Haupert,QB,International,1.62
Chase Holbrook,QB,New Mexico State,2.1
Tino Sunseri,QB,Pittsburgh,1.93
Tim Lester,QB,Western Michigan,3.25
Todd Philcox,QB,Syracuse,3.5
Mike Glass III,QB,Eastern Michigan,1.61
Tom Brady,QB,Michigan,2.74
Paul Justin,QB,Arizona State,3.92
Josh Nelson,QB,Mississippi,3.27
Grady Bennett,QB,Montana,5.68
James Harvey,QB,North Carolina Central,3.75
Lance Funderburk,QB,Valdosta State,2.3
Alexander Thury,QB,International,1.47
Preston Hutchinson,QB,Chattanooga,1.43
Richard Lagow,QB,Indiana,1.47
Matthew Knizner,QB,Penn State,4
James Richey,QB,Stephen F. Austin,4.08
Asher Hastings,QB,McMaster,1.42
Jeff Loots,QB,Southwest Minnesota,3
Jeff Bridewell,QB,Cal-Davis,4.32
Ryan Nassib,QB,Syracuse,1.52
Billy Bahl,QB,Ashland,1.43
Patrick OBrien,QB,Catawba,1.46
Chris Cochrane,QB,Cornell,3.51
Todd Santos,QB,San Diego State,4.8
Nathan Brown,QB,Central Arkansas,1.76
Todd Bandhaur,QB,Iowa State,2.45
Kaleb Scott,QB,Saint Marys,1.34
Danny Mcmanus,QB,Florida State,3.2
Jim Miller,QB,Michigan State,2.03
Jeff Bender,QB,Central Michigan,3.09
Mike Teel,QB,Rutgers,1.96
Mike Buck,QB,Maine,3.16
Aaron Winchester,QB,Central Connecticut,1.37
Gus Frerotte,QB,Tulsa,3.01
Erik Wilhelm,QB,Oregon State,2.5
Jack Constantine,QB,Rice,1.21
Billy Joe Tolliver,QB,Texas Tech,3
Nick Arbuckle,QB,Georgia State,1.28
Cree Morris,QB,Saint Marys,1.63
Andy Kelly,QB,Tennessee,2.77
Connor Sampson,QB,Western Illinois,1.12
Brad Lebo,QB,Montana,2.09
Aqeel Glass,QB,Alabama A&M,1.13
Tyler Jones,QB,Texas State,1.05
KJ Costello,QB,Mississippi State,1.13
Kyle Wachholtz,QB,Southern California,1.63
Troy Kopp,QB,Pacific,2.82
Austin Wilson,QB,Coastal Carolina,1.13
Caleb Rowe,QB,Maryland,1.1
Ed Daniels,QB,Langston,2.84
Zach Cunha,QB,Minot State,1.07
Mike Mcqueary,QB,Penn State,2.14
Hunter Cantwell,QB,Louisville,1.28
Sean Keenan,QB,Williams,2.55
Chance Stewart,QB,Hillsdale,1
Ralph Martini,QB,San Jose State,2.03
David Fales,QB,San Jose State,1.14
Steve Stenstrom,QB,Stanford,1.87
Ryan Clement,QB,Miami,2.77
Steve Sarkisian,QB,Brigham Young,3.04
Taylor Powell,QB,Eastern Michigan,0.91
Hugo Richard,QB,Laval,0.98
John Sacca,QB,Eastern Kentucky,2.31
Eli Hetlinger,QB,Alberta ,0.87
Ron Powlus,QB,Notre Dame,3.18
Drew Hare,QB,Northern Illinois,0.86
Broc Rutter,QB,North Central,0.91
Matthew Degennaro,QB,Connecticut,3.24
Glendon McDaniel,QB,Southern,0.82
Greg Willig,QB,Rice,0.91
Christian Erickson,QB,San Diego,0.8
Josh Straughan,QB,Southern Illinois,0.76
Brandon Silvers,QB,Troy,0.9
Shawn Halloran,QB,Boston College,3.08
Justin Fuente,QB,Murray State,1.51
Anthony Boone,QB,Duke,0.94
Graham Harrell,QB,Texas Tech,0.95
Connor Carusello,QB,Wilfrid Laurier,0.77
Thomas Woodson,QB,Akron,0.82
Dave Schnell,QB,Indiana,2.46
Nate Davis,QB,Ball State,1.06
Evan Orth,QB,South Alabama,0.76
Olivier Roy,QB,Concordia ,0.67
Jake Kelchner,QB,West Virginia,1.71
Loren Snyder,QB,Northern Colorado,2.31
Matt Sherman,QB,Iowa,2.54
Kelly Holcomb,QB,Middle Tennessee State,1.64
Josh Blankenship,QB,Tulsa,1.12
Drew Komlo,QB,Catholic University,1.5
Grant Russell,QB,Ohio Dominican,0.62
Chad Jeffries,QB,Azusa Pacific,0.66
Greg Frey,QB,Ohio State,1.76
Kellen Moore,QB,Boise State,0.86
Greg Jones,QB,West Virginia,2.43
Max Bortenschlager,QB,Florida International,0.57
Kevin Anderson,QB,Fordham,0.53
Brandon Doughty,QB,Western Kentucky,0.51
Toby Korrodi,QB,Central Missouri,0.62
Alfred Montez,QB,Western New Mexico,1.09
Chris Hakel,QB,William & Mary,1.17
Marc Mueller,QB,Regina,0.68
Roland Rivers,QB,Slippery Rock,0.5
Micahel Carrillo,QB,San Jose State,0.57
Manuel Engelmann,QB,Munich Cowboys,0.48
Drew Olson,QB,UCLA,0.6
Ryan Griffin,QB,Tulane,0.5
Steve Beuerlein,QB,Notre Dame,0.77
Frank Costa,QB,Miami,1.12
Christian Strong,QB,Seton Hill,0.39
Kerwin Bell,QB,Florida,2.4
Tom Bill,QB,Penn State,1.49
Billy McPhee,QB,Queens,0.39
Jarrett Lee,QB,Louisiana State,0.44
Jeff Ziemba,QB,Shepherd,0.36
Jim Arellanes,QB,Fresno State,1.06
Koy Detmer,QB,Colorado,1.68
John Stocco,QB,Wisconsin,0.56
John Friesz,QB,Idaho,0.88
Bruce Eugene,QB,Grambling State,0.36
Kevin Verdugo,QB,Colorado State,0.74
Chris Redman,QB,Louisville,0.47
Christian Chapman,QB,San Diego State,0.28
Dan Mccoin,QB,Cincinnati,2
Steve Slayden,QB,Duke,0.8
Andrea Fimiani,QB,International,0.24
Marvin Graves,QB,Syracuse,1.14
Dave Dickenson,QB,Montana,0.61
Mike Shula,QB,Alabama,1.54
Mike Gundy,QB,Oklahoma State,0.7
Nick Stevens,QB,Colorado State,0.16
Reid Quest,QB,Concordia,0.1
Sean Maguire,QB,Florida State,0.1
Peter Willis,QB,Florida State,0.53
Charles Puleri,QB,New Mexico State,0.64
Kirk Baumgartner,QB,Wisconsin-Stevens Point,0.35
Brad Mayes,QB,Lehigh,0.08
Brad Gossen,QB,Washington State,0.27
Niklas Gorny,QB,International,0.05
Shannon Patrick,QB,Bethune-Cookman,0.05
Chase Burton,QB,Franklin College,0.04
Colin McGovern,QB,Stetson,0.04
Dan Henning,QB,Maryland,0.4
Hunter Hughes,QB,Hawaii,0
