Name,Position,College,RAS
Taryn Christion,QB,South Dakota State,8.02
Patrick Mahomes,QB,Texas Tech,8.22
Hunter Johnson,QB,Clemson,8.33
Pat Devlin,QB,Delaware,8.49
Darron Thomas,QB,Oregon,8.03
Jacory Harris,QB,Miami,8.1
Paul Kaiser,QB,Central Missouri,9.94
Donovan McNabb,QB,Syracuse,9.39
Brandon Bridge,QB,South Alabama,8.19
Sam Straub,QB,Southern Illinois,8.25
Drew Anderson,QB,Murray State,8.11
Daniel Jones,QB,Duke,8.12
Kendrick Nord,QB,Grambling State,9.39
John Beck,QB,Brigham Young,8.32
Stetson Bennett,QB,Georgia,8.2
Jalan McClendon,QB,North Carolina State,8.06
Bruce Gradkowski,QB,Toledo,8.25
Don Mcpherson,QB,Syracuse,8.4
C.J. Beathard,QB,Iowa,7.67
Dustin Long,QB,Sam Houston State,8.69
Bryan Bennett,QB,Southeast Louisiana State,7.78
Keller Chryst,QB,Tennessee,8.03
MarQueis Gray,QB,Minnesota,7.96
Josh Heupel,QB,Oklahoma,9.2
Mark Garcia,QB,Ohio State,9.59
Marques Tuiasosopo,QB,Washington,8.98
Austin Davis,QB,Southern Mississippi,8.33
Connor Degenhardt,QB,New Haven,8.06
Johnny Manziel,QB,Texas A&M,8.34
Keithen Mccant,QB,Nebraska,9.79
Trevor Knight,QB,New Hampshire,7.84
Alex McGough,QB,Florida International,7.85
Vinny Testaverde,QB,Miami,10
David Rivers,QB,Western Carolina,9.12
Kyle Graves,QB,Acadia,8.06
Joey Harrington,QB,Oregon,9.08
Jaren Hall,QB,Brigham Young,7.96
Perry Hills,QB,Maryland,7.61
Ryan Finley,QB,North Carolina State,7.82
Blake Frohnapfel,QB,Massachusetts,7.93
Hasaan Klugh,QB,Charlotte,7.67
Greg McElroy,QB,Alabama,7.58
Tommy Devito,QB,Illinois,7.89
Jarious Jackson,QB,Notre Dame,8.87
Shaun King,QB,Tulane,8.93
Jameill Showers,QB,Texas-El Paso,7.39
Kenji Bahar,QB,Monmouth,7.68
Elvis Grbac,QB,Michigan,9.73
Troy Taylor,QB,California,9.65
Andrew Elffers,QB,Azusa Pacific,7.64
Terrance Owens,QB,Toledo,7.36
D.J. Mendenhall,QB,Urbana,7.79
Connor Cook,QB,Michigan State,7.52
Dakota Prukop,QB,Oregon,7.46
Joe Flacco,QB,Delaware,8.14
Graham Leigh,QB,New Mexico,9.34
Drew Stanton,QB,Michigan State,8.01
